playerid,birthyear,birthcountry,deathyear,namefirst,namelast,weight,height,bats,throws
allenne01,1958.0,USA,,Neil,Allen,185.0,75.0,R,R
allenni01,1888.0,USA,1939.0,Nick,Allen,180.0,72.0,R,R
allenpe01,1868.0,USA,1946.0,Pete,Allen,185.0,68.0,R,R
allenro01,1943.0,USA,,Ron,Allen,205.0,75.0,B,R
allenro02,1959.0,USA,,Rod,Allen,185.0,73.0,R,R
allensl01,1886.0,USA,1959.0,Sled,Allen,180.0,73.0,R,R
alleyge01,1940.0,USA,,Gene,Alley,160.0,70.0,R,R
alliebo01,1952.0,USA,,Bob,Allietta,190.0,72.0,R,R
alliega01,1931.0,USA,2016.0,Gair,Allie,190.0,73.0,R,R
allisan01,1848.0,USA,1897.0,Andy,Allison,150.0,70.0,,
allisar01,1849.0,USA,1916.0,Art,Allison,150.0,68.0,,
allisbi01,1850.0,USA,1887.0,Bill,Allison,,,,
allisbo01,1934.0,USA,1995.0,Bob,Allison,205.0,75.0,R,R
allisda01,1966.0,USA,,Dana,Allison,215.0,75.0,R,L
allisdo01,1846.0,USA,1916.0,Doug,Allison,160.0,70.0,R,R
allisma01,1887.0,USA,1964.0,Mack,Allison,185.0,73.0,R,R
allismi01,1890.0,USA,1957.0,Milo,Allison,163.0,72.0,L,R
allrebe01,1965.0,USA,,Beau,Allred,190.0,72.0,L,L
almadme01,1913.0,Mexico,1988.0,Mel,Almada,170.0,72.0,L,L
almanar01,1972.0,USA,,Armando,Almanza,205.0,75.0,L,L
almanca01,1973.0,D.R.,,Carlos,Almanzar,166.0,74.0,R,R
almeira01,1887.0,Cuba,1969.0,Rafael,Almeida,164.0,69.0,R,R
almonab01,1989.0,D.R.,,Abraham,Almonte,210.0,69.0,B,R
almonbi01,1952.0,USA,,Bill,Almon,180.0,75.0,R,R
almoned01,1976.0,D.R.,,Edwin,Almonte,200.0,75.0,R,R
almoner01,1978.0,D.R.,,Erick,Almonte,245.0,74.0,R,R
almonhe01,1975.0,D.R.,,Hector,Almonte,190.0,74.0,R,R
almonmi01,1993.0,D.R.,,Miguel,Almonte,210.0,74.0,R,R
almonzo01,1989.0,D.R.,,Zoilo,Almonte,205.0,72.0,B,R
