fg,3p,ft,reb,ast,stl,blk,tov,total_points,efficiency
39.2,31.9,54.5,0.8,0.6,0.3,0.2,0.8,119.0,13.837209302325581
49.4,0.0,60.9,2.4,0.4,0.2,0.1,0.9,202.5,24.397590361445783
38.0,33.0,90.3,3.0,5.7,0.6,0.1,1.9,896.0,27.73993808049536
36.8,25.0,61.5,1.2,0.4,0.3,0.1,0.4,114.0,14.805194805194805
39.3,27.3,81.3,1.3,0.3,0.2,0.1,0.6,135.20000000000002,18.520547945205482
55.3,0.0,46.4,2.1,0.1,0.2,0.3,0.6,96.89999999999999,14.907692307692306
43.5,40.0,88.9,0.7,0.3,0.2,0.2,0.6,115.5,18.629032258064516
23.8,16.7,76.5,0.6,1.3,0.3,0.0,0.5,52.800000000000004,9.263157894736842
33.3,0.0,50.0,1.1,0.1,0.1,0.3,0.1,14.7,2.9999999999999996
33.8,28.6,80.0,0.6,0.3,0.1,0.0,0.6,72.0,16.74418604651163
37.5,25.0,69.2,1.1,0.0,0.1,0.4,0.3,46.2,11.26829268292683
46.8,36.7,81.0,5.9,4.2,1.0,0.2,3.4,1738.0,50.52325581395349
49.8,19.0,77.5,5.1,4.6,1.9,0.8,3.2,1506.6000000000001,44.57396449704143
41.9,32.7,78.0,4.1,4.1,1.6,0.5,3.2,1104.0,35.4983922829582
45.5,42.8,83.1,2.8,3.0,1.5,0.5,2.0,1192.8999999999999,36.59202453987729
42.5,27.0,74.6,3.3,4.4,1.8,0.3,3.1,1090.2,36.70707070707071
48.6,0.0,74.9,6.7,1.8,1.5,0.6,2.5,975.8000000000001,32.85521885521886
41.4,31.4,79.5,2.5,2.3,0.9,0.3,1.5,1267.5,42.820945945945944
43.3,0.0,82.6,4.6,5.8,0.9,0.3,2.3,705.1999999999999,25.096085409252666
45.7,36.6,71.7,5.2,1.6,1.3,0.8,2.5,1071.6,38.826086956521735
43.5,22.7,73.5,3.4,7.1,2.0,0.1,3.6,844.9,31.17712177121771
43.2,24.8,74.5,2.6,3.8,1.1,0.1,2.3,924.3,35.41379310344827
37.6,32.0,80.4,2.9,1.0,0.6,0.2,1.2,721.6,27.02621722846442
41.9,32.9,61.4,3.9,2.4,1.2,0.3,0.9,464.4,18.501992031872508
42.0,25.0,67.3,5.2,2.1,0.7,0.5,1.9,440.0,19.81981981981982
45.0,40.6,78.9,3.1,1.3,0.6,0.3,1.3,704.0,32.0
49.0,0.0,80.3,2.2,3.4,1.1,0.1,1.6,454.40000000000003,21.53554502369668
41.7,14.3,69.5,2.5,4.3,1.2,0.1,2.3,205.20000000000002,10.108374384236454
50.1,0.0,57.1,4.5,1.0,1.0,0.3,1.2,481.0,26.0
47.5,30.0,85.0,2.1,2.6,0.8,0.2,1.0,568.0,29.128205128205128
46.7,20.0,69.2,1.5,3.7,0.8,0.1,1.7,217.6,11.27461139896373
43.7,20.8,78.3,3.2,1.0,0.6,0.1,1.7,753.3000000000001,39.64736842105263
43.4,22.5,78.6,2.3,1.5,0.5,0.1,1.6,920.0,50.549450549450555
46.4,0.0,59.6,2.3,1.1,0.5,0.4,0.4,397.59999999999997,23.666666666666664
46.7,32.2,74.5,2.0,3.9,1.2,0.0,1.8,720.9,42.910714285714285
42.0,35.9,88.4,1.1,3.7,0.8,0.0,0.8,426.40000000000003,25.53293413173653
44.3,0.0,57.8,2.1,0.9,0.7,0.1,1.4,122.39999999999999,8.326530612244898
48.8,0.0,68.9,3.6,0.3,0.2,0.2,0.7,357.5,24.655172413793103
48.6,0.0,58.0,3.2,0.6,0.4,0.1,0.7,280.0,19.58041958041958
43.1,0.0,69.2,1.9,0.2,0.1,0.1,0.3,57.6,8.22857142857143
44.5,0.0,72.5,2.2,0.8,0.4,0.3,0.9,244.79999999999998,18.268656716417908
54.5,0.0,69.9,2.7,0.2,0.1,0.3,0.9,322.5,31.009615384615383
42.6,0.0,38.4,3.7,1.1,0.4,0.1,0.9,259.2,25.411764705882355
53.7,25.0,61.5,2.1,0.3,0.3,0.5,0.6,254.2,25.676767676767675
30.1,7.1,78.1,1.1,2.6,0.3,0.1,1.1,139.4,14.673684210526316
36.6,29.4,60.9,0.5,2.2,0.5,0.1,1.0,116.60000000000001,12.404255319148936
40.2,16.7,83.3,0.9,2.3,0.5,0.2,1.3,136.29999999999998,14.499999999999998
40.8,38.5,65.4,1.1,0.8,0.6,0.1,1.1,147.6,16.77272727272727
51.3,0.0,65.0,2.4,0.1,0.3,0.8,0.5,161.20000000000002,18.964705882352945
49.0,0.0,67.4,1.3,0.5,0.5,0.2,0.5,129.5,15.602409638554215
49.4,0.0,50.0,2.6,0.4,0.3,0.3,0.5,186.0,22.962962962962965
40.4,25.0,81.3,0.9,1.5,0.5,0.1,0.7,112.2,14.025
43.0,10.0,69.0,1.3,0.5,0.3,0.1,0.5,168.0,21.265822784810126
48.0,10.0,82.4,1.1,0.4,0.4,0.1,0.4,125.39999999999999,16.076923076923077
48.0,10.0,82.4,1.1,0.4,0.4,0.1,0.4,125.39999999999999,16.076923076923077
36.9,30.8,63.8,2.2,0.8,0.7,0.4,1.2,188.1,18.81
36.9,30.8,63.8,2.2,0.8,0.7,0.4,1.2,188.1,18.81
41.8,24.4,60.0,1.8,0.8,1.0,0.4,1.1,127.19999999999999,7.310344827586206
46.0,40.1,71.2,3.2,0.9,0.7,0.2,0.8,462.0,20.442477876106192
41.5,0.0,73.8,1.3,0.6,0.3,0.0,0.5,180.0,24.65753424657534
36.4,22.2,66.0,0.6,1.4,0.3,0.1,0.9,127.4,17.45205479452055
50.4,40.0,70.6,1.1,0.4,0.3,0.1,0.7,151.79999999999998,22.323529411764703
34.9,11.1,56.3,0.6,1.7,0.5,0.1,0.4,68.8,10.117647058823529
31.9,20.0,77.3,0.7,1.1,0.3,0.1,0.8,66.5,11.083333333333334
47.4,0.0,78.3,1.4,0.2,0.2,0.0,0.5,112.2,19.684210526315788
42.2,0.0,68.2,1.0,0.2,0.2,0.1,0.3,98.39999999999999,17.57142857142857
43.2,25.4,77.4,4.8,10.6,2.5,0.1,3.1,1115.2,28.161616161616163
47.7,30.8,81.9,2.3,7.1,1.5,0.1,3.0,841.8000000000001,23.64606741573034
43.7,29.0,65.6,2.6,3.2,0.6,0.3,1.0,417.6,18.47787610619469
47.5,0.0,67.9,7.9,1.3,1.1,0.5,2.2,814.0,24.74164133738602
43.9,33.3,87.9,3.4,6.4,1.7,0.1,2.5,830.8000000000001,26.208201892744484
40.7,20.0,83.3,4.5,2.3,0.9,0.4,1.8,319.2,11.778597785977858
35.6,22.4,72.7,3.4,1.7,0.8,0.6,1.8,364.0,14.857142857142858
50.1,20.0,60.4,6.3,1.0,0.7,1.5,1.7,959.4,39.64462809917355
46.1,20.8,83.9,2.4,5.5,1.3,0.3,1.8,736.0,30.666666666666668
50.1,0.0,62.6,5.5,1.1,0.6,0.7,1.1,623.7,27.597345132743364
48.8,35.5,80.1,2.3,1.6,0.7,0.2,1.2,820.0,36.60714285714286
40.4,26.7,74.0,2.3,1.9,0.9,0.4,1.9,585.6,26.142857142857146
48.2,0.0,51.2,4.0,1.2,0.7,0.5,1.6,567.6,26.156682027649772
42.3,33.8,81.5,3.7,1.6,0.5,0.8,0.8,472.0,21.26126126126126
46.3,17.4,57.6,3.8,2.1,1.1,0.7,1.7,624.1,29.86124401913876
49.1,36.7,77.2,4.0,1.3,0.8,0.8,1.3,697.0,33.50961538461539
39.0,18.8,78.4,1.7,5.1,1.6,0.0,1.3,395.0,19.174757281553397
42.8,0.0,72.5,4.2,1.4,0.7,0.3,1.4,631.8,30.81951219512195
39.1,38.5,72.5,1.1,2.9,1.0,0.1,1.0,124.80000000000001,7.131428571428572
45.9,0.0,87.1,4.5,0.8,0.3,0.1,0.9,222.3,13.472727272727273
43.0,0.0,70.7,2.9,0.9,0.5,0.9,1.6,420.0,28.0
53.2,0.0,64.0,3.4,0.5,0.4,0.3,0.7,284.40000000000003,19.479452054794525
37.4,24.0,71.9,1.0,3.1,0.3,0.1,1.0,156.60000000000002,11.954198473282444
44.6,0.0,72.2,0.6,1.2,0.4,0.0,1.0,259.7,21.823529411764703
49.6,23.1,80.6,2.0,0.7,0.3,0.6,0.8,294.0,28.54368932038835
42.2,20.0,89.7,0.7,1.5,0.1,0.1,0.6,152.0,16.0
47.4,0.0,56.3,2.6,0.4,0.2,0.3,0.6,170.5,18.333333333333332
47.0,0.0,73.5,0.7,1.7,0.6,0.0,0.9,147.5,16.95402298850575
40.4,0.0,81.0,0.6,2.0,0.4,0.0,0.9,105.6,12.722891566265059
46.6,0.0,70.2,1.3,0.5,0.3,0.3,0.6,220.5,26.566265060240962
38.5,0.0,44.4,1.9,0.4,0.2,0.3,0.5,48.400000000000006,6.36842105263158
36.7,0.0,66.7,1.7,0.5,0.1,0.3,0.6,77.89999999999999,11.803030303030303
37.5,28.6,61.5,0.4,0.6,0.2,0.0,0.5,46.800000000000004,7.42857142857143
37.7,37.3,74.4,1.8,2.7,0.5,0.2,0.9,279.0,14.020100502512564
